Prediction and Applicability Domain analysis for model:
Mutagenicity (Ames test) model (CAESAR) (version 2.1.13)
(calculation core version: 1.2.2)

No.	Id	SMILES	Assessment	Predicted Mutagen activity	Experimental	Structural Alerts	ADI	Similarity index	Accuracy index	Concordance index	Descriptors range check	ACF index	Remarks
1	Molecule 1	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Mutagenic (EXPERIMENTAL value)	Mutagenic	Mutagenic	SA18 Polycyclic Aromatic Hydrocarbons	1	1	1	1	True	1	-
2	Molecule 2	OCCOCCOCCOCCOCCOc1ccc(cc1)C(C)(C)CC(C)(C)C	NON-Mutagenic (moderate reliability)	NON-Mutagenic	-		0.816	0.813	1	0.671	True	1	-
3	Molecule 3	O=C(OCCOCCOC(=O)c1ccccc1)c2ccccc2	NON-Mutagenic (moderate reliability)	NON-Mutagenic	-		0.843	0.866	1	0.673	True	1	-
4	Molecule 4	O=C(OCC(OC(C)COC(=O)c1ccccc1)C)c2ccccc2	NON-Mutagenic (good reliability)	NON-Mutagenic	-		0.938	0.88	1	1	True	1	-
5	Molecule 5	n1(=O)c([S-])cccc1.[Na+]	[ERROR]	-	-	-	-	-	-	-	-	-	[Molecule error] Conversion from SMILES: molecule has disconnected structures. [Model] Unable to calculate model, input molecule is not valid. Conversion from SMILES: molecule has disconnected structures.
6	Molecule 6	O	[ERROR]	-	-	-	-	-	-	-	-	-	[Model] Unable to calculate some molecular descriptors, model can not be executed.
7	Molecule 7	O=C(O[Na])O[Na]	[ERROR]	-	-	-	-	-	-	-	-	-	[Model] Unable to calculate some molecular descriptors, model can not be executed.
8	Molecule 8	O=C([O-])C4=C(C[n+]1ccccc1)CSC3N4(C(=O)C3(NC(=O)Cc2cccs2))	NON-Mutagenic (moderate reliability)	NON-Mutagenic	-		0.89	0.792	1	1	True	1	-
9	Molecule 9	Si(C)(C)(C)OSi(C)(C)OSi(C)(C)OSi(C)(C)OSi(O)(O)OSi(O)(O)OSi(O)(O)OSi(O)(O)O	[ERROR]	-	-	-	-	-	-	-	-	-	[Molecule error] For input string: "155300-4". [Model] Unable to calculate model, input molecule is not valid. For input string: "155300-4".
10	Molecule 10	O=C1O[Ca]O1	[ERROR]	-	-	-	-	-	-	-	-	-	[Model] Unable to calculate some molecular descriptors, model can not be executed.
11	Molecule 11	O=[Ti]=O	[ERROR]	-	-	-	-	-	-	-	-	-	[Model] Unable to calculate some molecular descriptors, model can not be executed.
12	Molecule 12	CCC1CCC2C(CC)CC(C)CC2(C1)	NON-Mutagenic (good reliability)	NON-Mutagenic	-		0.933	0.871	1	1	True	1	-
13	Molecule 13	O=C1NSc2ccccc12	Mutagenic (low reliability)	Mutagenic	-		0.699	0.836	1	0.341	True	1	-
14	Molecule 14	OCCOCCOCCOCCOCCO	NON-Mutagenic (good reliability)	NON-Mutagenic	-		0.948	0.899	1	1	True	1	-
