Prediction and Applicability Domain analysis for model:
Ready Biodegradability model (IRFMN) (version 1.0.9)
(calculation core version: 1.2.2)

No.	Id	SMILES	Assessment	Predicted RB activity	No. alerts for non RB	No. alerts for possible non RB	No. alerts for RB	No. alerts for possible RB	Experimental	Structural Alerts	ADI	Similarity index	Accuracy index	Concordance index	ACF index	Remarks
1	Molecule 1	c1ccccc1	Not classifiable	Not classifiable	0	0	0	0	-		-	-	-	-	-	[Model] Unable to perform Applicability Domain check.
2	Molecule 2	CC	Not classifiable	Not classifiable	0	0	0	0	-		-	-	-	-	-	[Model] Unable to perform Applicability Domain check.
3	Molecule 3	KO	[ERROR]	-	-	-	-	-	-	-	-	-	-	-	-	[Molecule error] Conversion from SMILES: unable to parse SMILES string KO. [Model] Unable to calculate model, input molecule is not valid. Conversion from SMILES: unable to parse SMILES string KO.
4	Molecule 4	c46c9nc(c4cccc6S(=O)(=O)O)N=c5nc(c7c5cccc7S(=O)(=O)O)N=C1c8c(cccc8)C( =NC2=NC(=N9)c3ccccc23)N1	[ERROR]	-	-	-	-	-	-	-	-	-	-	-	-	[Molecule error] Conversion from SMILES: unable to parse SMILES string c46c9nc(c4cccc6S(=O)(=O)O)N=c5nc(c7c5cccc7S(=O)(=O)O)N=C1c8c(cccc8)C( =NC2=NC(=N9)c3ccccc23)N1. [Model] Unable to calculate model, input molecule is not valid. Conversion from SMILES: unable to parse SMILES string c46c9nc(c4cccc6S(=O)(=O)O)N=c5nc(c7c5cccc7S(=O)(=O)O)N=C1c8c(cccc8)C( =NC2=NC(=N9)c3ccccc23)N1.
5	Molecule 5	O=C(O[Na])c3nn(c1ccc(cc1)S(=O)(=O)O[Na])c(O[Na])c3(N=Nc2ccc(cc2)S(=O)(=O)O[Na])	Possible NON Readily Biodegradable (low reliability)	Possible NON Readily Biodegradable	0	2	0	1	-	Possible non RB alert no. 8  (benzenesulfonic acid); Possible non RB alert no. 10  (diazene); Possible RB alert no. 17  (sulfanone)	0.265	0.744	0.666	1	0.34	-
6	Molecule 6	O=C(O[Na])O[Na]	Not classifiable	Not classifiable	0	0	0	0	-		-	-	-	-	-	[Model] Unable to perform Applicability Domain check.
7	Molecule 7	N1([Na])C(=O)N(CL)C(=O)N(CL)C1(=O)	[ERROR]	-	-	-	-	-	-	-	-	-	-	-	-	[Molecule error] Conversion from SMILES: unable to parse SMILES string N1([Na])C(=O)N(CL)C(=O)N(CL)C1(=O). [Model] Unable to calculate model, input molecule is not valid. Conversion from SMILES: unable to parse SMILES string N1([Na])C(=O)N(CL)C(=O)N(CL)C1(=O).
8	Molecule 8	O=C(O[Na])O[Na]	Not classifiable	Not classifiable	0	0	0	0	-		-	-	-	-	-	[Model] Unable to perform Applicability Domain check.
9	Molecule 9	O=C(O[Na])C(=C)C	Possible Readily Biodegradable (low reliability)	Possible Readily Biodegradable	0	0	0	2	-	Possible RB alert no. 10  (propanoic acid); Possible RB alert no. 14  (acetaldehyde)	0.309	0.887	0.672	0.672	0.4	-
10	Molecule 10	OCC(O)CO	Readily Biodegradable (EXPERIMENTAL value)	Possible Readily Biodegradable	0	0	0	1	Readily Biodegradable	Possible RB alert no. 15  (ethane-1,2-diol)	1	1	1	1	1	-
11	Molecule 11	O=C(N)N	Not classifiable	Not classifiable	0	0	0	0	-		-	-	-	-	-	[Model] Unable to perform Applicability Domain check.
12	Molecule 12	O=C(O)CC(O)(C(=O)O)CC(=O)O	Possible Readily Biodegradable (low reliability)	Possible Readily Biodegradable	0	0	0	5	-	Possible RB alert no. 10  (propanoic acid); Possible RB alert no. 12  (butan-1-ol); Possible RB alert no. 14  (acetaldehyde); Possible RB alert no. 15  (ethane-1,2-diol); Possible RB alert no. 20  (butane)	0.618	0.8	0.667	0.341	1	-
13	Molecule 13	O=P(O)(O)CN(CP(=O)(O)O)CP(=O)(O)O	Not classifiable	Not classifiable	0	0	0	0	-		-	-	-	-	-	[Model] Unable to perform Applicability Domain check.
14	Molecule 14	C(=O)(O)C=C[Na+][O-]S(=O)O	[ERROR]	-	-	-	-	-	-	-	-	-	-	-	-	[Molecule error] For input string: "12801-1". [Model] Unable to calculate model, input molecule is not valid. For input string: "12801-1".
15	Molecule 15	OCCOCCOCCOCCOCCCCCCCCCC	Possible Readily Biodegradable (good reliability)	Possible Readily Biodegradable	0	0	0	6	-	Possible RB alert no. 7  (1-ethoxybutane); Possible RB alert no. 8  (octan-1-ol); Possible RB alert no. 12  (butan-1-ol); Possible RB alert no. 15  (ethane-1,2-diol); Possible RB alert no. 18  (heptanes); Possible RB alert no. 20  (butane)	0.921	0.848	1	1	1	-
16	Molecule 16	O=[Si](O[Na])O[Na]	Not classifiable	Not classifiable	0	0	0	0	-		-	-	-	-	-	[Model] Unable to perform Applicability Domain check.
17	Molecule 17	O(CC)CCCCCCCCCCCC	Possible Readily Biodegradable (good reliability)	Possible Readily Biodegradable	0	0	0	5	-	Possible RB alert no. 7  (1-ethoxybutane); Possible RB alert no. 8  (octan-1-ol); Possible RB alert no. 12  (butan-1-ol); Possible RB alert no. 18  (heptanes); Possible RB alert no. 20  (butane)	0.963	0.928	1	1	1	-
18	Molecule 18	O(CC)CCCCCCCCCCCC	Possible Readily Biodegradable (good reliability)	Possible Readily Biodegradable	0	0	0	5	-	Possible RB alert no. 7  (1-ethoxybutane); Possible RB alert no. 8  (octan-1-ol); Possible RB alert no. 12  (butan-1-ol); Possible RB alert no. 18  (heptanes); Possible RB alert no. 20  (butane)	0.963	0.928	1	1	1	-
19	Molecule 19	[Na]CL	[ERROR]	-	-	-	-	-	-	-	-	-	-	-	-	[Molecule error] Conversion from SMILES: unable to parse SMILES string [Na]CL. [Model] Unable to calculate model, input molecule is not valid. Conversion from SMILES: unable to parse SMILES string [Na]CL.
20	Molecule 20	O=S(=O)(O[Na])O[Na]	Possible Readily Biodegradable (low reliability)	Possible Readily Biodegradable	0	0	0	1	-	Possible RB alert no. 17  (sulfanone)	0.276	0.793	1	0.695	0.34	-
21	Molecule 21	O=P(O[Na])(O[Na])OP(=O)(O[Na])OP(=O)(O[Na])O[Na]	Not classifiable	Not classifiable	0	0	0	0	-		-	-	-	-	-	[Model] Unable to perform Applicability Domain check.
