Prediction and Applicability Domain analysis for model:
Ready Biodegradability model (IRFMN) (version 1.0.9)
(calculation core version: 1.2.2)

No.	Id	SMILES	Assessment	Predicted RB activity	No. alerts for non RB	No. alerts for possible non RB	No. alerts for RB	No. alerts for possible RB	Experimental	Structural Alerts	ADI	Similarity index	Accuracy index	Concordance index	ACF index	Remarks
1	Molecule 1	O=C(O)CC(OC(=O)C)C[N+](C)(C)C	Readily Biodegradable (moderate reliability)	Readily Biodegradable	0	0	1	5	-	RB alert no. 6  (2-methoxybutane); Possible RB alert no. 10  (propanoic acid); Possible RB alert no. 12  (butan-1-ol); Possible RB alert no. 14  (acetaldehyde); Possible RB alert no. 16  (propan-1-amine); Possible RB alert no. 20  (butane)	0.9	0.809	1	1	1	-
2	Molecule 2	Oc1cccc(c1)CO	Not classifiable	Not classifiable	0	0	0	0	-		-	-	-	-	-	[Model] Unable to perform Applicability Domain check.
3	Molecule 3	C(=C(C)C)CCl	Not classifiable	Not classifiable	0	0	0	0	-		-	-	-	-	-	[Model] Unable to perform Applicability Domain check.
4	Molecule 4	O=C(OCC(O)CO)CCSSCCC(=O)OCC(O)CO	NON Readily Biodegradable (low reliability)	NON Readily Biodegradable	1	0	1	4	-	Non RB alert no. 34  (dithioperoxol); RB alert no. 1  (2-hydroxyethyl acetate); Possible RB alert no. 5  (methyl propanoate); Possible RB alert no. 10  (propanoic acid); Possible RB alert no. 14  (acetaldehyde); Possible RB alert no. 15  (ethane-1,2-diol)	0	0.749	1	0	0.85	-
5	Molecule 5	O=C(OCC(O)CO)CCSCCC(=O)OCC(O)CO	Readily Biodegradable (moderate reliability)	Readily Biodegradable	0	0	1	4	-	RB alert no. 1  (2-hydroxyethyl acetate); Possible RB alert no. 5  (methyl propanoate); Possible RB alert no. 10  (propanoic acid); Possible RB alert no. 14  (acetaldehyde); Possible RB alert no. 15  (ethane-1,2-diol)	0.787	0.757	1	0.668	1	-
6	Molecule 6	C[Sn+3].C(C[S-])C(=O)OCC(C(C(C(CO)O)O)O)O.C(C[S-])C(=O)OCC(C(C(C(CO)O)O)O)O.C(C[S-])C(=O)OCC(C(C(C(CO)O)O)O)O	[ERROR]	-	-	-	-	-	-	-	-	-	-	-	-	[Molecule error] Conversion from SMILES: molecule has disconnected structures. [Model] Unable to calculate model, input molecule is not valid. Conversion from SMILES: molecule has disconnected structures.
7	Molecule 7	O=C(OCC(O)C(O)C(O)C(O)CO)CCS	Readily Biodegradable (moderate reliability)	Readily Biodegradable	0	0	1	8	-	RB alert no. 1  (2-hydroxyethyl acetate); Possible RB alert no. 5  (methyl propanoate); Possible RB alert no. 6  (butyl formate); Possible RB alert no. 7  (1-ethoxybutane); Possible RB alert no. 10  (propanoic acid); Possible RB alert no. 12  (butan-1-ol); Possible RB alert no. 14  (acetaldehyde); Possible RB alert no. 15  (ethane-1,2-diol); Possible RB alert no. 20  (butane)	0.881	0.775	1	1	1	-
8	Molecule 8	O=C(OCC(O)C(O)C(O)C(O)COC(=O)CCS)CCS	Readily Biodegradable (moderate reliability)	Readily Biodegradable	0	0	1	8	-	RB alert no. 1  (2-hydroxyethyl acetate); Possible RB alert no. 5  (methyl propanoate); Possible RB alert no. 6  (butyl formate); Possible RB alert no. 7  (1-ethoxybutane); Possible RB alert no. 10  (propanoic acid); Possible RB alert no. 12  (butan-1-ol); Possible RB alert no. 14  (acetaldehyde); Possible RB alert no. 15  (ethane-1,2-diol); Possible RB alert no. 20  (butane)	0.898	0.807	1	1	1	-
9	Molecule 9	O(CC)C(OCCC(C)CCC=C(C)C)C	Possible Readily Biodegradable (moderate reliability)	Possible Readily Biodegradable	0	0	0	4	-	Possible RB alert no. 4  (2-methylhept-2-ene); Possible RB alert no. 7  (1-ethoxybutane); Possible RB alert no. 12  (butan-1-ol); Possible RB alert no. 20  (butane)	0.875	0.765	1	1	1	-
10	Molecule 10	CCCCCCCCCCCCCCCOCCCNC(=O)C(CC(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]	[ERROR]	-	-	-	-	-	-	-	-	-	-	-	-	[Molecule error] Conversion from SMILES: molecule has disconnected structures. [Model] Unable to calculate model, input molecule is not valid. Conversion from SMILES: molecule has disconnected structures.
11	Molecule 11	O=C(O)CC(C(=O)NCCCOCCCCCCCCCCCCCCC)S(=O)(=O)O	Readily Biodegradable (moderate reliability)	Readily Biodegradable	0	0	1	12	-	RB alert no. 4  (1-propoxynonane); Possible RB alert no. 1  (tridecan-1-ol); Possible RB alert no. 7  (1-ethoxybutane); Possible RB alert no. 8  (octan-1-ol); Possible RB alert no. 9  (tridecane); Possible RB alert no. 10  (propanoic acid); Possible RB alert no. 12  (butan-1-ol); Possible RB alert no. 13  (acetamide); Possible RB alert no. 14  (acetaldehyde); Possible RB alert no. 16  (propan-1-amine); Possible RB alert no. 17  (sulfanone); Possible RB alert no. 18  (heptanes); Possible RB alert no. 20  (butane)	0.683	0.798	1	0.655	0.85	-
